77.3270 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?
85.6992 	EXP 	Created idel = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, image='Images/del.jpg', interpolate=True, mask=None, maskParams=None, name='idel', opacity=1.0, ori=0.0, pos=array([-3., -2.]), size=array([2., 2.]), texRes=128.0, units='cm', win=Window(...))
85.7471 	EXP 	Created i0 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-11.0, flipHoriz=False, flipVert=False, image='Images/0.png', interpolate=True, mask=None, maskParams=None, name='i0', opacity=1.0, ori=0.0, pos=array([ 0., -2.]), size=array([2., 2.]), texRes=128.0, units='cm', win=Window(...))
85.8067 	EXP 	Created ienter = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-12.0, flipHoriz=False, flipVert=False, image='Images/enter.jpg', interpolate=True, mask=None, maskParams=None, name='ienter', opacity=1.0, ori=0.0, pos=array([ 3., -2.]), size=array([2., 2.]), texRes=128.0, units='cm', win=Window(...))
86.0429 	DATA 	Mouse: Left button down, pos=(563,591)
86.0441 	DATA 	Mouse:  Left button up, pos=(540,594)
86.0972 	EXP 	textbox: autoLog = True
86.0972 	EXP 	welcome: autoDraw = True
86.8479 	EXP 	instructions: autoDraw = True
87.1285 	EXP 	welcome: autoDraw = False
89.8798 	DATA 	Mouse: Left button down, pos=(538,330)
90.0232 	DATA 	Mouse:  Left button up, pos=(538,330)
90.9451 	EXP 	Created sequence: sequential, trialTypes=1, nReps=50, seed=None
90.9478 	EXP 	New trial (rep=0, index=0): None
90.9532 	DATA 	Keypress: l
90.9740 	EXP 	welcome: autoDraw = False
90.9740 	EXP 	instructions: autoDraw = False
92.1500 	EXP 	textbox: autoDraw = True
92.1500 	EXP 	i7: autoDraw = True
92.1500 	EXP 	i7: texRes = 256.0
92.1500 	EXP 	i8: autoDraw = True
92.1500 	EXP 	i8: texRes = 128.0
92.1500 	EXP 	i9: autoDraw = True
92.1500 	EXP 	i9: texRes = 128.0
92.1500 	EXP 	i4: autoDraw = True
92.1500 	EXP 	i4: texRes = 128.0
92.1500 	EXP 	i5: autoDraw = True
92.1500 	EXP 	i5: texRes = 128.0
92.1500 	EXP 	i6: autoDraw = True
92.1500 	EXP 	i6: texRes = 128.0
92.1500 	EXP 	i1: autoDraw = True
92.1500 	EXP 	i1: texRes = 128.0
92.1500 	EXP 	i2: autoDraw = True
92.1500 	EXP 	i2: texRes = 128.0
92.1500 	EXP 	i3: autoDraw = True
92.1500 	EXP 	i3: texRes = 128.0
92.1500 	EXP 	idel: autoDraw = True
92.1500 	EXP 	idel: texRes = 128.0
92.1500 	EXP 	i0: autoDraw = True
92.1500 	EXP 	i0: texRes = 128.0
92.1500 	EXP 	ienter: autoDraw = True
92.1500 	EXP 	ienter: texRes = 128.0
92.2874 	EXP 	i7: texRes = 256.0
92.2874 	EXP 	i8: texRes = 128.0
92.2874 	EXP 	i9: texRes = 128.0
92.2874 	EXP 	i4: texRes = 128.0
92.2874 	EXP 	i5: texRes = 128.0
92.2874 	EXP 	i6: texRes = 128.0
92.2874 	EXP 	i1: texRes = 128.0
92.2874 	EXP 	i2: texRes = 128.0
92.2874 	EXP 	i3: texRes = 128.0
92.2874 	EXP 	idel: texRes = 128.0
92.2874 	EXP 	i0: texRes = 128.0
92.2874 	EXP 	ienter: texRes = 128.0
92.4174 	EXP 	i7: texRes = 256.0
92.4174 	EXP 	i8: texRes = 128.0
92.4174 	EXP 	i9: texRes = 128.0
92.4174 	EXP 	i4: texRes = 128.0
92.4174 	EXP 	i5: texRes = 128.0
92.4174 	EXP 	i6: texRes = 128.0
92.4174 	EXP 	i1: texRes = 128.0
92.4174 	EXP 	i2: texRes = 128.0
92.4174 	EXP 	i3: texRes = 128.0
92.4174 	EXP 	idel: texRes = 128.0
92.4174 	EXP 	i0: texRes = 128.0
92.4174 	EXP 	ienter: texRes = 128.0
92.5441 	EXP 	i7: texRes = 256.0
92.5441 	EXP 	i8: texRes = 128.0
92.5441 	EXP 	i9: texRes = 128.0
92.5441 	EXP 	i4: texRes = 128.0
92.5441 	EXP 	i5: texRes = 128.0
92.5441 	EXP 	i6: texRes = 128.0
92.5441 	EXP 	i1: texRes = 128.0
92.5441 	EXP 	i2: texRes = 128.0
92.5441 	EXP 	i3: texRes = 128.0
92.5441 	EXP 	idel: texRes = 128.0
92.5441 	EXP 	i0: texRes = 128.0
92.5441 	EXP 	ienter: texRes = 128.0
92.6756 	EXP 	i7: texRes = 256.0
92.6756 	EXP 	i8: texRes = 128.0
92.6756 	EXP 	i9: texRes = 128.0
92.6756 	EXP 	i4: texRes = 128.0
92.6756 	EXP 	i5: texRes = 128.0
92.6756 	EXP 	i6: texRes = 128.0
92.6756 	EXP 	i1: texRes = 128.0
92.6756 	EXP 	i2: texRes = 128.0
92.6756 	EXP 	i3: texRes = 128.0
92.6756 	EXP 	idel: texRes = 128.0
92.6756 	EXP 	i0: texRes = 128.0
92.6756 	EXP 	ienter: texRes = 128.0
92.8088 	EXP 	i7: texRes = 256.0
92.8088 	EXP 	i8: texRes = 128.0
92.8088 	EXP 	i9: texRes = 128.0
92.8088 	EXP 	i4: texRes = 128.0
92.8088 	EXP 	i5: texRes = 128.0
92.8088 	EXP 	i6: texRes = 128.0
92.8088 	EXP 	i1: texRes = 128.0
92.8088 	EXP 	i2: texRes = 128.0
92.8088 	EXP 	i3: texRes = 128.0
92.8088 	EXP 	idel: texRes = 128.0
92.8088 	EXP 	i0: texRes = 128.0
92.8088 	EXP 	ienter: texRes = 128.0
92.9393 	EXP 	i7: texRes = 256.0
92.9393 	EXP 	i8: texRes = 128.0
92.9393 	EXP 	i9: texRes = 128.0
92.9393 	EXP 	i4: texRes = 128.0
92.9393 	EXP 	i5: texRes = 128.0
92.9393 	EXP 	i6: texRes = 128.0
92.9393 	EXP 	i1: texRes = 128.0
92.9393 	EXP 	i2: texRes = 128.0
92.9393 	EXP 	i3: texRes = 128.0
92.9393 	EXP 	idel: texRes = 128.0
92.9393 	EXP 	i0: texRes = 128.0
92.9393 	EXP 	ienter: texRes = 128.0
93.0692 	EXP 	i7: texRes = 256.0
93.0692 	EXP 	i8: texRes = 128.0
93.0692 	EXP 	i9: texRes = 128.0
