trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,instructions.started,instructions.stopped,start_2.keys,start_2.rt,start_2.started,start_2.stopped,textbox.text,textbox.started,textbox.stopped,i7.started,i7.stopped,i8.started,i8.stopped,i9.started,i9.stopped,i4.started,i4.stopped,i5.started,i5.stopped,i6.started,i6.stopped,i1.started,i1.stopped,i2.started,i2.stopped,i3.started,i3.stopped,idel.started,idel.stopped,i0.started,i0.stopped,ienter.started,ienter.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,31.74989050000113,32.7846112999996,32.72344879999946,None,space,14.95670439999958,32.72344879999946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Feb_28_1126,idk,2021.2.3,None,
0,0,0,0,,,,,,,,,>>> ,48.85831309999958,None,48.85831309999958,None,48.85831309999958,None,48.85831309999958,None,48.85831309999958,None,48.85831309999958,None,48.85831309999958,None,48.85831309999958,None,48.85831309999958,None,48.85831309999958,None,48.85831309999958,None,48.85831309999958,None,48.85831309999958,None,,2022_Feb_28_1126,idk,2021.2.3,None,
1,0,1,0,,,,,,,,,>>>,54.869657900000675,None,54.869657900000675,None,54.869657900000675,None,54.869657900000675,None,54.869657900000675,None,54.869657900000675,None,54.869657900000675,None,54.869657900000675,None,54.869657900000675,None,54.869657900000675,None,54.869657900000675,None,54.869657900000675,None,54.869657900000675,None,,2022_Feb_28_1126,idk,2021.2.3,None,
2,0,2,0,,,,,,,,,>>>,60.834445500000584,None,60.834445500000584,None,60.834445500000584,None,60.834445500000584,None,60.834445500000584,None,60.834445500000584,None,60.834445500000584,None,60.834445500000584,None,60.834445500000584,None,60.834445500000584,None,60.834445500000584,None,60.834445500000584,None,60.834445500000584,None,,2022_Feb_28_1126,idk,2021.2.3,None,
3,0,3,0,,,,,,,,,>>>,66.81737580000117,None,66.81737580000117,None,66.81737580000117,None,66.81737580000117,None,66.81737580000117,None,66.81737580000117,None,66.81737580000117,None,66.81737580000117,None,66.81737580000117,None,66.81737580000117,None,66.81737580000117,None,66.81737580000117,None,66.81737580000117,None,,2022_Feb_28_1126,idk,2021.2.3,None,
4,0,4,0,,,,,,,,,>>>,72.86894740000025,None,72.86894740000025,None,72.86894740000025,None,72.86894740000025,None,72.86894740000025,None,72.86894740000025,None,72.86894740000025,None,72.86894740000025,None,72.86894740000025,None,72.86894740000025,None,72.86894740000025,None,72.86894740000025,None,72.86894740000025,None,,2022_Feb_28_1126,idk,2021.2.3,None,
5,0,5,0,,,,,,,,,>>>,78.8341206999994,None,78.8341206999994,None,78.8341206999994,None,78.8341206999994,None,78.8341206999994,None,78.8341206999994,None,78.8341206999994,None,78.8341206999994,None,78.8341206999994,None,78.8341206999994,None,78.8341206999994,None,78.8341206999994,None,78.8341206999994,None,,2022_Feb_28_1126,idk,2021.2.3,None,
6,0,6,0,,,,,,,,,>>>,84.83279659999971,None,84.83279659999971,None,84.83279659999971,None,84.83279659999971,None,84.83279659999971,None,84.83279659999971,None,84.83279659999971,None,84.83279659999971,None,84.83279659999971,None,84.83279659999971,None,84.83279659999971,None,84.83279659999971,None,84.83279659999971,None,,2022_Feb_28_1126,idk,2021.2.3,None,
