trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,instructions.started,instructions.stopped,start_2.keys,start_2.rt,start_2.started,start_2.stopped,textbox.text,textbox.started,textbox.stopped,i7.started,i7.stopped,i8.started,i8.stopped,i9.started,i9.stopped,i4.started,i4.stopped,i5.started,i5.stopped,i6.started,i6.stopped,i1.started,i1.stopped,i2.started,i2.stopped,i3.started,i3.stopped,idel.started,idel.stopped,i0.started,i0.stopped,ienter.started,ienter.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,12.352668300000005,13.349228000000949,13.302278400000432,None,space,10.858835399998497,13.302278400000432,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Feb_28_1237,idk,2021.2.3,59.90556486743543,
0,0,0,0,,,,,,,,,>>> ,25.212636599999314,None,25.212636599999314,None,25.212636599999314,None,25.212636599999314,None,25.212636599999314,None,25.212636599999314,None,25.212636599999314,None,25.212636599999314,None,25.212636599999314,None,25.212636599999314,None,25.212636599999314,None,25.212636599999314,None,25.212636599999314,None,,2022_Feb_28_1237,idk,2021.2.3,59.90556486743543,
1,0,1,0,,,,,,,,,>>>,31.212911300000997,None,31.212911300000997,None,31.212911300000997,None,31.212911300000997,None,31.212911300000997,None,31.212911300000997,None,31.212911300000997,None,31.212911300000997,None,31.212911300000997,None,31.212911300000997,None,31.212911300000997,None,31.212911300000997,None,31.212911300000997,None,,2022_Feb_28_1237,idk,2021.2.3,59.90556486743543,
2,0,2,0,,,,,,,,,>>>,37.212407000000894,None,37.212407000000894,None,37.212407000000894,None,37.212407000000894,None,37.212407000000894,None,37.212407000000894,None,37.212407000000894,None,37.212407000000894,None,37.212407000000894,None,37.212407000000894,None,37.212407000000894,None,37.212407000000894,None,37.212407000000894,None,,2022_Feb_28_1237,idk,2021.2.3,59.90556486743543,
3,0,3,0,,,,,,,,,>>>,43.212211100000786,None,43.212211100000786,None,43.212211100000786,None,43.212211100000786,None,43.212211100000786,None,43.212211100000786,None,43.212211100000786,None,43.212211100000786,None,43.212211100000786,None,43.212211100000786,None,43.212211100000786,None,43.212211100000786,None,43.212211100000786,None,,2022_Feb_28_1237,idk,2021.2.3,59.90556486743543,
4,0,4,0,,,,,,,,,>>>,49.19502359999933,None,49.19502359999933,None,49.19502359999933,None,49.19502359999933,None,49.19502359999933,None,49.19502359999933,None,49.19502359999933,None,49.19502359999933,None,49.19502359999933,None,49.19502359999933,None,49.19502359999933,None,49.19502359999933,None,49.19502359999933,None,,2022_Feb_28_1237,idk,2021.2.3,59.90556486743543,
5,0,5,0,,,,,,,,,>>>,55.19703880000088,None,55.19703880000088,None,55.19703880000088,None,55.19703880000088,None,55.19703880000088,None,55.19703880000088,None,55.19703880000088,None,55.19703880000088,None,55.19703880000088,None,55.19703880000088,None,55.19703880000088,None,55.19703880000088,None,55.19703880000088,None,,2022_Feb_28_1237,idk,2021.2.3,59.90556486743543,
6,0,6,0,,,,,,,,,>>>,61.19409160000032,None,61.19409160000032,None,61.19409160000032,None,61.19409160000032,None,61.19409160000032,None,61.19409160000032,None,61.19409160000032,None,61.19409160000032,None,61.19409160000032,None,61.19409160000032,None,61.19409160000032,None,61.19409160000032,None,61.19409160000032,None,,2022_Feb_28_1237,idk,2021.2.3,59.90556486743543,
7,0,7,0,,,,,,,,,>>>,67.19367760000023,None,67.19367760000023,None,67.19367760000023,None,67.19367760000023,None,67.19367760000023,None,67.19367760000023,None,67.19367760000023,None,67.19367760000023,None,67.19367760000023,None,67.19367760000023,None,67.19367760000023,None,67.19367760000023,None,67.19367760000023,None,,2022_Feb_28_1237,idk,2021.2.3,59.90556486743543,
8,0,8,0,,,,,,,,,>>>,73.21012859999973,None,73.21012859999973,None,73.21012859999973,None,73.21012859999973,None,73.21012859999973,None,73.21012859999973,None,73.21012859999973,None,73.21012859999973,None,73.21012859999973,None,73.21012859999973,None,73.21012859999973,None,73.21012859999973,None,73.21012859999973,None,,2022_Feb_28_1237,idk,2021.2.3,59.90556486743543,
9,0,9,0,,,,,,,,,>>>,79.1927813000002,None,79.1927813000002,None,79.1927813000002,None,79.1927813000002,None,79.1927813000002,None,79.1927813000002,None,79.1927813000002,None,79.1927813000002,None,79.1927813000002,None,79.1927813000002,None,79.1927813000002,None,79.1927813000002,None,79.1927813000002,None,,2022_Feb_28_1237,idk,2021.2.3,59.90556486743543,
10,0,10,0,,,,,,,,,>>>,85.19256010000026,None,85.19256010000026,None,85.19256010000026,None,85.19256010000026,None,85.19256010000026,None,85.19256010000026,None,85.19256010000026,None,85.19256010000026,None,85.19256010000026,None,85.19256010000026,None,85.19256010000026,None,85.19256010000026,None,85.19256010000026,None,,2022_Feb_28_1237,idk,2021.2.3,59.90556486743543,
