trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,instructions.started,instructions.stopped,start_2.keys,start_2.rt,start_2.started,start_2.stopped,textbox.text,textbox.started,textbox.stopped,i7.started,i7.stopped,i8.started,i8.stopped,i9.started,i9.stopped,i4.started,i4.stopped,i5.started,i5.stopped,i6.started,i6.stopped,i1.started,i1.stopped,i2.started,i2.stopped,i3.started,i3.stopped,idel.started,idel.stopped,i0.started,i0.stopped,ienter.started,ienter.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,142.74147350000567,143.78962320000574,143.6918841000006,None,space,7.726584499992896,143.6918841000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,idk,2022_Mar_01_1322,idk,2021.2.3,None,
0,0,0,0,,,,,,,,,>>> ,152.5811895999941,None,152.5811895999941,None,152.5811895999941,None,152.5811895999941,None,152.5811895999941,None,152.5811895999941,None,152.5811895999941,None,152.5811895999941,None,152.5811895999941,None,152.5811895999941,None,152.5811895999941,None,152.5811895999941,None,152.5811895999941,None,idk,2022_Mar_01_1322,idk,2021.2.3,None,
1,0,1,0,,,,,,,,,>>>,158.57902889999968,None,158.57902889999968,None,158.57902889999968,None,158.57902889999968,None,158.57902889999968,None,158.57902889999968,None,158.57902889999968,None,158.57902889999968,None,158.57902889999968,None,158.57902889999968,None,158.57902889999968,None,158.57902889999968,None,158.57902889999968,None,idk,2022_Mar_01_1322,idk,2021.2.3,None,
2,0,2,0,,,,,,,,,>>>,164.49978840000404,None,164.49978840000404,None,164.49978840000404,None,164.49978840000404,None,164.49978840000404,None,164.49978840000404,None,164.49978840000404,None,164.49978840000404,None,164.49978840000404,None,164.49978840000404,None,164.49978840000404,None,164.49978840000404,None,164.49978840000404,None,idk,2022_Mar_01_1322,idk,2021.2.3,None,
3,0,3,0,,,,,,,,,>>>,170.5463987999974,None,170.5463987999974,None,170.5463987999974,None,170.5463987999974,None,170.5463987999974,None,170.5463987999974,None,170.5463987999974,None,170.5463987999974,None,170.5463987999974,None,170.5463987999974,None,170.5463987999974,None,170.5463987999974,None,170.5463987999974,None,idk,2022_Mar_01_1322,idk,2021.2.3,None,
4,0,4,0,,,,,,,,,>>>,176.53070849999494,None,176.53070849999494,None,176.53070849999494,None,176.53070849999494,None,176.53070849999494,None,176.53070849999494,None,176.53070849999494,None,176.53070849999494,None,176.53070849999494,None,176.53070849999494,None,176.53070849999494,None,176.53070849999494,None,176.53070849999494,None,idk,2022_Mar_01_1322,idk,2021.2.3,None,
5,0,5,0,,,,,,,,,>>>,182.54704859999765,None,182.54704859999765,None,182.54704859999765,None,182.54704859999765,None,182.54704859999765,None,182.54704859999765,None,182.54704859999765,None,182.54704859999765,None,182.54704859999765,None,182.54704859999765,None,182.54704859999765,None,182.54704859999765,None,182.54704859999765,None,idk,2022_Mar_01_1322,idk,2021.2.3,None,
6,0,6,0,,,,,,,,,>>>,188.56958280000254,None,188.56958280000254,None,188.56958280000254,None,188.56958280000254,None,188.56958280000254,None,188.56958280000254,None,188.56958280000254,None,188.56958280000254,None,188.56958280000254,None,188.56958280000254,None,188.56958280000254,None,188.56958280000254,None,188.56958280000254,None,idk,2022_Mar_01_1322,idk,2021.2.3,None,
7,0,7,0,,,,,,,,,>>>,194.61517829999502,None,194.61517829999502,None,194.61517829999502,None,194.61517829999502,None,194.61517829999502,None,194.61517829999502,None,194.61517829999502,None,194.61517829999502,None,194.61517829999502,None,194.61517829999502,None,194.61517829999502,None,194.61517829999502,None,194.61517829999502,None,idk,2022_Mar_01_1322,idk,2021.2.3,None,
