trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,instructions.started,instructions.stopped,start_2.keys,start_2.rt,start_2.started,start_2.stopped,textbox.text,textbox.started,textbox.stopped,i7.started,i7.stopped,i8.started,i8.stopped,i9.started,i9.stopped,i4.started,i4.stopped,i5.started,i5.stopped,i6.started,i6.stopped,i1.started,i1.stopped,i2.started,i2.stopped,i3.started,i3.stopped,idel.started,idel.stopped,i0.started,i0.stopped,ienter.started,ienter.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,57.62408439999854,58.639185500003805,58.59308270000474,None,space,29.59798499999306,58.59308270000474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Feb_28_2347,idk,2021.2.3,None,
0,0,0,0,,,,,,,,,>>>,92.20211659999768,None,92.20211659999768,None,92.20211659999768,None,92.20211659999768,None,92.20211659999768,None,92.20211659999768,None,92.20211659999768,None,92.20211659999768,None,92.20211659999768,None,92.20211659999768,None,92.20211659999768,None,92.20211659999768,None,92.20211659999768,None,,2022_Feb_28_2347,idk,2021.2.3,None,
1,0,1,0,,,,,,,,,>>>,98.13520789999893,None,98.13520789999893,None,98.13520789999893,None,98.13520789999893,None,98.13520789999893,None,98.13520789999893,None,98.13520789999893,None,98.13520789999893,None,98.13520789999893,None,98.13520789999893,None,98.13520789999893,None,98.13520789999893,None,98.13520789999893,None,,2022_Feb_28_2347,idk,2021.2.3,None,
2,0,2,0,,,,,,,,,>>>,104.11957770000299,None,104.11957770000299,None,104.11957770000299,None,104.11957770000299,None,104.11957770000299,None,104.11957770000299,None,104.11957770000299,None,104.11957770000299,None,104.11957770000299,None,104.11957770000299,None,104.11957770000299,None,104.11957770000299,None,104.11957770000299,None,,2022_Feb_28_2347,idk,2021.2.3,None,
3,0,3,0,,,,,,,,,>>>,110.11878489999799,None,110.11878489999799,None,110.11878489999799,None,110.11878489999799,None,110.11878489999799,None,110.11878489999799,None,110.11878489999799,None,110.11878489999799,None,110.11878489999799,None,110.11878489999799,None,110.11878489999799,None,110.11878489999799,None,110.11878489999799,None,,2022_Feb_28_2347,idk,2021.2.3,None,
4,0,4,0,,,,,,,,,>>>,116.12017480000213,None,116.12017480000213,None,116.12017480000213,None,116.12017480000213,None,116.12017480000213,None,116.12017480000213,None,116.12017480000213,None,116.12017480000213,None,116.12017480000213,None,116.12017480000213,None,116.12017480000213,None,116.12017480000213,None,116.12017480000213,None,,2022_Feb_28_2347,idk,2021.2.3,None,
5,0,5,0,,,,,,,,,>>>,122.13550810000015,None,122.13550810000015,None,122.13550810000015,None,122.13550810000015,None,122.13550810000015,None,122.13550810000015,None,122.13550810000015,None,122.13550810000015,None,122.13550810000015,None,122.13550810000015,None,122.13550810000015,None,122.13550810000015,None,122.13550810000015,None,,2022_Feb_28_2347,idk,2021.2.3,None,
6,0,6,0,,,,,,,,,>>>,128.11839370000234,None,128.11839370000234,None,128.11839370000234,None,128.11839370000234,None,128.11839370000234,None,128.11839370000234,None,128.11839370000234,None,128.11839370000234,None,128.11839370000234,None,128.11839370000234,None,128.11839370000234,None,128.11839370000234,None,128.11839370000234,None,,2022_Feb_28_2347,idk,2021.2.3,None,
7,0,7,0,,,,,,,,,>>>,134.1520260000034,None,134.1520260000034,None,134.1520260000034,None,134.1520260000034,None,134.1520260000034,None,134.1520260000034,None,134.1520260000034,None,134.1520260000034,None,134.1520260000034,None,134.1520260000034,None,134.1520260000034,None,134.1520260000034,None,134.1520260000034,None,,2022_Feb_28_2347,idk,2021.2.3,None,
