trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,instructions.started,instructions.stopped,start_2.keys,start_2.rt,start_2.started,start_2.stopped,textbox.text,textbox.started,textbox.stopped,i7.started,i7.stopped,i8.started,i8.stopped,i9.started,i9.stopped,i4.started,i4.stopped,i5.started,i5.stopped,i6.started,i6.stopped,i1.started,i1.stopped,i2.started,i2.stopped,i3.started,i3.stopped,idel.started,idel.stopped,i0.started,i0.stopped,ienter.started,ienter.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,86.09723699999995,87.12854069999958,86.84787210000104,None,l,3.9782646000003297,86.84787210000104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Feb_22_0327,idk,2021.2.3,59.83652660968786,
0,0,0,0,,,,,,,,,>>>l,92.15001459999985,None,92.15001459999985,None,92.15001459999985,None,92.15001459999985,None,92.15001459999985,None,92.15001459999985,None,92.15001459999985,None,92.15001459999985,None,92.15001459999985,None,92.15001459999985,None,92.15001459999985,None,92.15001459999985,None,92.15001459999985,None,,2022_Feb_22_0327,idk,2021.2.3,59.83652660968786,
1,0,1,0,,,,,,,,,>>>,98.18079730000136,None,98.18079730000136,None,98.18079730000136,None,98.18079730000136,None,98.18079730000136,None,98.18079730000136,None,98.18079730000136,None,98.18079730000136,None,98.18079730000136,None,98.18079730000136,None,98.18079730000136,None,98.18079730000136,None,98.18079730000136,None,,2022_Feb_22_0327,idk,2021.2.3,59.83652660968786,
2,0,2,0,,,,,,,,,>>>,104.06601729999966,None,104.06601729999966,None,104.06601729999966,None,104.06601729999966,None,104.06601729999966,None,104.06601729999966,None,104.06601729999966,None,104.06601729999966,None,104.06601729999966,None,104.06601729999966,None,104.06601729999966,None,104.06601729999966,None,104.06601729999966,None,,2022_Feb_22_0327,idk,2021.2.3,59.83652660968786,
3,0,3,0,,,,,,,,,>>>,110.37253349999992,None,110.37253349999992,None,110.37253349999992,None,110.37253349999992,None,110.37253349999992,None,110.37253349999992,None,110.37253349999992,None,110.37253349999992,None,110.37253349999992,None,110.37253349999992,None,110.37253349999992,None,110.37253349999992,None,110.37253349999992,None,,2022_Feb_22_0327,idk,2021.2.3,59.83652660968786,
4,0,4,0,,,,,,,,,>>>,116.38642810000056,None,116.38642810000056,None,116.38642810000056,None,116.38642810000056,None,116.38642810000056,None,116.38642810000056,None,116.38642810000056,None,116.38642810000056,None,116.38642810000056,None,116.38642810000056,None,116.38642810000056,None,116.38642810000056,None,116.38642810000056,None,,2022_Feb_22_0327,idk,2021.2.3,59.83652660968786,
5,0,5,0,,,,,,,,,>>>,122.3084173999996,None,122.3084173999996,None,122.3084173999996,None,122.3084173999996,None,122.3084173999996,None,122.3084173999996,None,122.3084173999996,None,122.3084173999996,None,122.3084173999996,None,122.3084173999996,None,122.3084173999996,None,122.3084173999996,None,122.3084173999996,None,,2022_Feb_22_0327,idk,2021.2.3,59.83652660968786,
6,0,6,0,,,,,,,,,>>>,128.15618970000105,None,128.15618970000105,None,128.15618970000105,None,128.15618970000105,None,128.15618970000105,None,128.15618970000105,None,128.15618970000105,None,128.15618970000105,None,128.15618970000105,None,128.15618970000105,None,128.15618970000105,None,128.15618970000105,None,128.15618970000105,None,,2022_Feb_22_0327,idk,2021.2.3,59.83652660968786,
7,0,7,0,,,,,,,,,>>>,134.17332440000064,None,134.17332440000064,None,134.17332440000064,None,134.17332440000064,None,134.17332440000064,None,134.17332440000064,None,134.17332440000064,None,134.17332440000064,None,134.17332440000064,None,134.17332440000064,None,134.17332440000064,None,134.17332440000064,None,134.17332440000064,None,,2022_Feb_22_0327,idk,2021.2.3,59.83652660968786,
8,0,8,0,,,,,,,,,>>>,140.2605712000004,None,140.2605712000004,None,140.2605712000004,None,140.2605712000004,None,140.2605712000004,None,140.2605712000004,None,140.2605712000004,None,140.2605712000004,None,140.2605712000004,None,140.2605712000004,None,140.2605712000004,None,140.2605712000004,None,140.2605712000004,None,,2022_Feb_22_0327,idk,2021.2.3,59.83652660968786,
